"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC+9)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xcc7e452a242264cd85903eeea107adad539ec7b7f01ce6d35f556ddc4e142aff","24506272","1771689323","2026-02-22 00:55:23","0xe4f971cc3a66adcb19e0c7b05f7716dd56e3d26d","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","30.934558","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x0d9e25f7c4f08df13e6ca994c504b3670d27df6f2e804f3ffd7691d7dc6f92d6","24506275","1771689359","2026-02-22 00:55:59","0xa6c5ec3f4b31e37770afe102540cac1b2ab004bc","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","5","N/A","0xa6c5ec3f4b31e37770afe102540cac1b2ab004bc","ERC-20: Robo Token","ROBO"
"0x8703c5bd43b89ef161f1cb5953c8ff0fa61936b0b2eee5ab7239b06d99ff41f3","24506643","1771693787","2026-02-22 02:09:47","0x8cbefb58ac102be0f4dd762f4ce25f3187ef39a6","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","673.16819","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x79230c0f54a3fefc41ea9c1772d8dc71b87678b9786c5c9e3b6c834c0812292d","24508445","1771715543","2026-02-22 08:12:23","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x60c969a444352e68bdb679b9f1ebc752f768d67c","669.9875","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xbca24b3028c0baca4ad436a60a17612c0c2d8cfafde4ff36a3c97bc2927d29a4","24508448","1771715579","2026-02-22 08:12:59","0x60c889fc16483041ce5d5a11bd04e1bcb448d67c","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.000669","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x044ff9459ba9073121ab7fddeb782e8d115cec0d30cd6bd287b12bed6e071598","24508959","1771721735","2026-02-22 09:55:35","0x627b5148e2b52c7c5b7655836c3e2347384e02b7","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","2.78","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa450cddaeb42f2bc6b126c6a3330dbe1c05dda0b98c5e08994ce4a3167a47096","24511328","1771750283","2026-02-22 17:51:23","0xb1b7b53c51ce87b8a4310cf6524570aa08f621ac","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","1,015","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x47d0bf6d7c39322389ee33547b1ba6b0329281a87d615bcfe8d372acc8c585c1","24511592","1771753463","2026-02-22 18:44:23","0x4e790c423f2228fc1ed02ae6845cf3ba100b2da6","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","1,351.180329","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x35ce2a48f1ac4ad3e28bd373590912450f424bef05cf22ba0e43de0fa569fe6d","24511705","1771754831","2026-02-22 19:07:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x50062b48948c6d8b49cacf13aba2d17bf0591e7c","16","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x341fb25d93dd0bf7941e4bca84c817df399584a68e3d63ffd3e7c55abd457018","24511707","1771754855","2026-02-22 19:07:35","0x50030b76a234e7fe39c592ebf17b5a064aa11e7c","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.00016","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x0feb744ecd14a9aec1d39ec365fb7662c0545d39d09c24c61afccbd25c992b24","24511712","1771754915","2026-02-22 19:08:35","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x5006721b527a51debd5e862def398600b93f1e7c","0","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xbcc600ab798e9c31b2f824ebe72cbb3f8d6de01f7680d213514a5e82dd156494","24511720","1771755011","2026-02-22 19:10:11","0x50020b95fec918c0e481e7c5b231d26bb9591e7c","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.0016","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xb885cabdb23c77b6818b573ac0373ad45fc99cf1fe7ec9c023acfb8c3ae84b66","24512655","1771766255","2026-02-22 22:17:35","0x49f67939f7dfeee79623c6ce3c3247cb31999f9a","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","504","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xbe3bddeb2ee02d2d9ba6f4c968c875a0ca7e8c6109513d76f6a08a6ad49f9586","24512756","1771767467","2026-02-22 22:37:47","0x7ab9542c63f8563c77dde3dbcf38c9691d3888ee","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","9","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x1fa7afa75c836a213aab67929ff37c8329651fa665d206184a32077677ccfd11","24512978","1771770131","2026-02-22 23:22:11","0xbfaee1a64e2cb6864bf50dee9b92eaf2dca37b51","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","104.715186","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xe439dc77a2ace43ff17252c8cf2e6d714304f7fb8aba36ed0fae78004558d887","24513636","1771778063","2026-02-23 01:34:23","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x31e95b7fe9263d7d429c2798c0cacb155d27981b","52.924595","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x0c2c2fa6ed045a5b9850ff21b42e17171184c6fa918402bdba83dcc00717c1eb","24513639","1771778099","2026-02-23 01:34:59","0x31e08f0fa30d47fe52af619093dc92033bbd981b","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.000529","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x06a9aa57131772a0ca1a6e9ecb3f7991e75ec24d3ee47b969621aac8b4c55365","24513640","1771778111","2026-02-23 01:35:11","0x31e06e73babb5ecc9931dc2adeaa7fd18b76981b","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.000529","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xeac4487884172c1e5b4b779a07301f4cc6f096db54ac4ff334bd26bf644e3fcb","24513650","1771778231","2026-02-23 01:37:11","0x31e0df951196fa16de24327be04510a90127981b","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.005292","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x44c2877b4ff379cd93736f72b36187081bf9c728277a7c2943b489b7b04104cd","24515837","1771804535","2026-02-23 08:55:35","0xeb2d5bac8592d6e3f5466b61d7b74579dc0e248f","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","2,300","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x46340cc706afdfa6990d7f24c80c4bd0d564ac6f7bc13c7de7164d29b702b536","24516067","1771807307","2026-02-23 09:41:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x1c6b4150fd7dd11c63582027929a60aa3649a0eb","6","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x862ed6853049bd3c4192a05e7bda2e0af292a8bcc26d5b1e0315fb08e51d6e3d","24516072","1771807367","2026-02-23 09:42:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x1c6b5cfe9b326f49a5d795dc088b2aa18c93a0eb","0","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x801355238c9a3159a7aca248d5a71a5720ef406d6d5f2f0cdd45d3d3e8ec173e","24516074","1771807391","2026-02-23 09:43:11","0x1c607415b6714fa9080b98c83486b94d95efa0eb","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.0006","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x04798ad4fc02d39289f23a98a7faa11a24f7c31f80a28c31220d91220df694e2","24516078","1771807439","2026-02-23 09:43:59","0x114fcdf24c81fd46b39b25de990c73d92649a0eb","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.001","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xe080de221817d4c851a2a99fbc846f8508b4e602e495547eb0f88a8f214fbc18","24516104","1771807751","2026-02-23 09:49:11","0x1c64ca6c1f3fb8fd13bcd0198f0414d6e239a0eb","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.006","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xb2ec61c106acde3c38d1eeb0ba3584173d1e5155c91eb14bf42dfaee465fb25b","24516120","1771807943","2026-02-23 09:52:23","0x05d26df93ba55a8e9e60693291213a5a835764bb","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","5","N/A","0x05d26df93ba55a8e9e60693291213a5a835764bb","ERC-20: POWER","POWER"
"0xfe4541dc0e97b2924dc435254485843abef6113cccdbabbb24f5e47a0931afc3","24516262","1771809659","2026-02-23 10:20:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x858b0ae3b6ffaa0e976a9092e95fb9840f47c3a6","897.5","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xf6381ed9742eabd64139c41965b1e12779f9fd0b7bd11886d88f3eab38f34e6c","24516345","1771810655","2026-02-23 10:37:35","0x858f1a9ff42c77a33a1cbc54904ff48a5b20c3a6","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.000897","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xac2c183b65fe46cfc1bb1d551257143b09c2b8f332c3f9617277f1bc47c31d35","24516498","1771812503","2026-02-23 11:08:23","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x1c6b22b118fe06fdfe56ea3caed47e2252dda0eb","0","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x893eb52df74e52bbca265d09df96e006b9d9a197b018469dba4031b68980e43f","24516685","1771814771","2026-02-23 11:46:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x858b0ae3b6ffaa0e976a9092e95fb9840f47c3a6","671.28","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xfa63f0876293c0dde3e6a6d1013093857ac7db2fde7e4ca08ac1acb179745ee0","24516687","1771814795","2026-02-23 11:46:35","0x8585f631f4153f156854c144722180316c82c3a6","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0.000671","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x0a9192b7a06ecd1279dd2ecdce8e0049729cccf14614eeaafcb23535215419b3","24517301","1771822175","2026-02-23 13:49:35","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x72a300593b01e0c21a2bafccc03bae891761766a","50","N/A","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
